Date,EMA(39)
2025-10-13,179.93
2025-10-14,179.94
2025-10-15,179.93
2025-10-16,180.02
2025-10-17,180.18
2025-10-20,180.3
2025-10-21,180.34
2025-10-22,180.34
2025-10-23,180.43
2025-10-24,180.72
2025-10-27,181.26
2025-10-28,182.25
2025-10-29,183.49
2025-10-30,184.46
2025-10-31,185.36
2025-11-03,186.44
2025-11-04,187.05
2025-11-05,187.46
2025-11-06,187.49
2025-11-07,187.52
2025-11-10,188.1
2025-11-11,188.35
2025-11-12,188.62
2025-11-13,188.53
2025-11-14,188.61
2025-11-17,188.51
2025-11-18,188.15
2025-11-19,188.07
2025-11-20,187.7
2025-11-21,187.26
2025-11-24,187.02
2025-11-25,186.56
2025-11-26,186.24
2025-11-28,185.78
2025-12-01,185.49
2025-12-02,185.29
2025-12-03,185.0
2025-12-04,184.92
2025-12-05,184.79
2025-12-08,184.83
2025-12-09,184.84
2025-12-10,184.79
2025-12-11,184.6
2025-12-12,184.12
2025-12-15,183.73
2025-12-16,183.43
2025-12-17,182.81
2025-12-18,182.38
2025-12-19,182.31
2025-12-22,182.38
2025-12-23,182.72
2025-12-24,183.01
2025-12-26,183.39
2025-12-29,183.63
