Date,EMA(13)
2025-04-01,221.44
2025-04-02,221.79
2025-04-03,219.13
2025-04-04,214.74
2025-04-07,209.99
2025-04-08,204.62
2025-04-09,203.8
2025-04-10,201.89
2025-04-11,201.36
2025-04-14,201.53
2025-04-15,201.62
2025-04-16,200.57
2025-04-17,200.06
2025-04-21,199.07
2025-04-22,199.17
2025-04-23,199.95
2025-04-24,201.15
2025-04-25,202.31
2025-04-28,203.43
2025-04-29,204.54
2025-04-30,205.68
2025-05-01,206.77
2025-05-02,206.57
2025-05-05,205.47
2025-05-06,204.48
2025-05-07,203.3
2025-05-08,202.47
2025-05-09,201.91
2025-05-12,203.18
2025-05-13,204.57
2025-05-14,205.68
2025-05-15,206.5
2025-05-16,207.18
2025-05-19,207.41
2025-05-20,207.33
2025-05-21,206.58
2025-05-22,205.83
2025-05-23,204.32
2025-05-27,203.73
2025-05-28,203.26
2025-05-29,202.79
2025-05-30,202.51
2025-06-02,202.39
2025-06-03,202.52
2025-06-04,202.56
2025-06-05,202.28
2025-06-06,202.51
2025-06-09,202.36
2025-06-10,202.4
2025-06-11,201.88
2025-06-12,201.5
2025-06-13,200.78
2025-06-16,200.44
2025-06-17,199.75
2025-06-18,199.3
2025-06-20,199.54
2025-06-23,199.82
2025-06-24,199.89
2025-06-25,200.13
2025-06-26,200.25
2025-06-27,200.37
2025-06-30,201.06
2025-07-01,202.03
2025-07-02,203.52
2025-07-03,204.95
2025-07-07,205.66
2025-07-08,206.28
2025-07-09,206.97
2025-07-10,207.75
2025-07-11,208.24
2025-07-14,208.29
2025-07-15,208.41
2025-07-16,208.66
2025-07-17,208.85
2025-07-18,209.18
2025-07-21,209.65
2025-07-22,210.33
2025-07-23,210.88
2025-07-24,211.29
2025-07-25,211.66
2025-07-28,212.0
2025-07-29,211.9
2025-07-30,211.49
2025-07-31,210.93
2025-08-01,209.71
2025-08-04,208.8
2025-08-05,207.96
2025-08-06,208.72
2025-08-07,210.34
2025-08-08,213.06
2025-08-11,215.08
2025-08-12,217.16
2025-08-13,219.47
2025-08-14,221.37
2025-08-15,222.83
2025-08-18,223.98
2025-08-19,224.92
2025-08-20,225.08
2025-08-21,225.05
2025-08-22,225.44
2025-08-25,225.69
2025-08-26,226.21
2025-08-27,226.82
2025-08-28,227.64
2025-08-29,228.28
2025-09-02,228.49
2025-09-03,229.92
2025-09-04,231.33
2025-09-05,232.52
2025-09-08,233.29
2025-09-09,233.44
2025-09-10,232.49
2025-09-11,232.14
2025-09-12,232.42
2025-09-15,233.03
2025-09-16,233.76
2025-09-17,234.51
2025-09-18,234.99
2025-09-19,236.49
2025-09-22,239.29
2025-09-23,241.45
2025-09-24,243.0
2025-09-25,244.98
2025-09-26,246.48
2025-09-29,247.62
2025-09-30,248.62
2025-10-01,249.6
2025-10-02,250.68
2025-10-03,251.73
2025-10-06,252.44
2025-10-07,253.02
2025-10-08,253.74
2025-10-09,253.78
2025-10-10,252.56
2025-10-13,251.86
2025-10-14,251.28
2025-10-15,251.0
2025-10-16,250.49
2025-10-17,250.75
2025-10-20,252.39
2025-10-21,253.87
2025-10-22,254.52
2025-10-23,255.24
2025-10-24,256.32
2025-10-27,258.1
2025-10-28,259.66
2025-10-29,261.09
2025-10-30,262.56
2025-10-31,263.68
2025-11-03,264.45
2025-11-04,265.25
2025-11-05,265.95
2025-11-06,266.5
2025-11-07,266.78
2025-11-10,267.16
2025-11-11,268.32
2025-11-12,269.06
2025-11-13,269.62
2025-11-14,270.02
2025-11-17,269.65
2025-11-18,269.33
2025-11-19,269.22
2025-11-20,268.8
2025-11-21,269.18
2025-11-24,270.14
2025-11-25,271.12
2025-11-26,272.04
2025-11-28,273.01
2025-12-01,274.45
2025-12-02,276.13
2025-12-03,277.28
2025-12-04,277.77
2025-12-05,277.91
2025-12-08,277.91
2025-12-09,277.81
2025-12-10,277.95
2025-12-11,277.96
2025-12-12,278.01
2025-12-15,277.45
2025-12-16,277.04
2025-12-17,276.3
2025-12-18,275.71
2025-12-19,275.42
2025-12-22,274.78
2025-12-23,274.43
2025-12-24,274.34
2025-12-26,274.21
2025-12-29,274.15
