symbol,country,market_cap
RKLB,USA,83.06B
NOK,Finland,83.00B
SLB,USA,81.56B
NXPI,Netherlands,81.13B
NGG,United Kingdom,81.13B
BE,USA,81.07B
ABNB,USA,80.35B
CVNA,USA,80.07B
MMM,USA,79.87B
MPWR,USA,76.95B
SHW,USA,74.94B
APO,USA,74.20B
SU,Canada,74.02B
VLO,USA,72.70B
BSX,USA,71.81B
B,Canada,71.29B
EOG,USA,71.04B
COHR,USA,70.72B
TDG,USA,70.38B
PBR,Brazil,69.85B
F,USA,69.49B
DASH,USA,69.41B
VALE,Brazil,69.30B
NKE,USA,68.46B
AON,Ireland,67.50B
MSI,USA,66.94B
LITE,USA,66.52B
ET,USA,65.97B
NU,Brazil,63.82B
BKR,USA,63.37B
TEL,Ireland,62.29B
STM,Switzerland,61.60B
WPM,Canada,60.21B
TFC,USA,60.06B
RACE,Italy,60.05B
CRWV,USA,59.76B
ALAB,USA,58.77B
LHX,USA,58.72B
TER,USA,58.60B
NBIS,Netherlands,58.15B
KEYS,USA,58.02B
TGT,USA,57.71B
AFL,USA,57.22B
HPE,USA,57.11B
OXY,USA,56.33B
MSTR,USA,55.75B
FLEX,USA,55.24B
TRGP,USA,54.75B
DAL,USA,54.19B
VST,USA,54.03B
FANG,USA,53.87B
STRC,USA,53.37B
CARR,USA,53.05B
OKE,USA,52.88B
MT,Luxembourg,52.83B
CBRS,USA,52.05B
SE,Singapore,51.33B
MCHP,USA,51.31B
DVN,USA,51.29B
ROK,USA,50.19B
COIN,USA,49.80B
CCJ,Canada,49.08B
ADSK,USA,48.84B
EBAY,USA,48.52B
ON,USA,47.27B
LNG,USA,47.12B
PBR-A,Brazil,45.67B
XYZ,USA,45.07B
GFS,USA,44.50B
CLS,Canada,44.31B
ASTS,USA,44.02B
CRDO,Cayman Islands,43.54B
STT,USA,43.08B
IX,Japan,42.99B
TTWO,USA,41.62B
ESLT,Israel,41.22B
HEI-A,USA,41.13B
RKT,USA,41.06B
CMG,USA,40.87B
YUM,USA,40.78B
PYPL,USA,39.47B
LYV,USA,39.19B
CCL,USA,38.81B
IBKR,USA,38.74B
KR,USA,38.32B
BIDU,China,37.65B
STLD,USA,37.52B
SATS,USA,37.44B
UAL,USA,37.26B
HUM,USA,36.67B
WDAY,USA,36.11B
UI,USA,35.34B
JD,China,34.98B
CBOE,USA,34.91B
PAYX,USA,34.75B
NTAP,USA,34.39B
EQT,USA,34.36B
RDDT,USA,33.88B
RBLX,USA,33.76B
LVS,USA,33.51B
FSLR,USA,32.97B
Q,USA,32.66B
ZTS,USA,32.57B
HAL,USA,32.46B
EL,USA,32.18B
NTRS,USA,30.62B
IQV,USA,30.41B
FISV,USA,30.16B
VG,USA,29.91B
MTZ,USA,29.90B
CPNG,USA,29.80B
ZM,USA,29.79B
CNC,USA,29.43B
TWLO,USA,28.93B
TSEM,Israel,28.52B
CASY,USA,28.35B
CRCL,USA,28.09B
IR,USA,28.04B
MTSI,USA,27.82B
SMCI,USA,27.72B
TEAM,USA,27.31B
OTIS,USA,27.18B
MDB,USA,27.01B
NVT,United Kingdom,27.01B
IONQ,USA,26.90B
STRL,USA,26.42B
P,USA,26.41B
XPO,USA,25.16B
HPQ,USA,24.73B
AFRM,USA,24.67B
DOW,USA,24.33B
PAAS,Canada,24.01B
WSM,USA,23.97B
STZ,USA,23.90B
ATI,USA,23.90B
CPAY,USA,23.65B
NXT,USA,23.50B
SOFI,USA,23.37B
CRS,USA,23.30B
IHG,United Kingdom,23.04B
IREN,Australia,22.67B
DLTR,USA,22.67B
ZS,USA,22.60B
EXE,USA,22.24B
NI,USA,22.16B
MKSI,USA,21.90B
DKNG,USA,21.78B
AKAM,USA,21.74B
FFIV,USA,21.63B
OKTA,USA,21.61B
LYB,United Kingdom,21.51B
ENTG,USA,21.17B
CHRW,USA,21.06B
LUV,USA,20.99B
ALB,USA,20.81B
GPN,USA,20.66B
RIVN,USA,20.54B
AA,USA,20.49B
AXIA,Brazil,20.47B
DKS,USA,20.36B
BURL,USA,20.35B
LSCC,USA,20.15B
CDE,USA,19.99B
CHTR,USA,19.95B
SITM,USA,18.75B
MRNA,USA,18.72B
RBC,USA,18.09B
TTMI,USA,18.04B
PL,USA,17.70B
WCC,USA,17.59B
TLN,USA,17.56B
LOGI,Switzerland,17.49B
CF,USA,17.26B
AMKR,USA,17.24B
FLUT,USA,16.87B
NVR,USA,16.48B
GNRC,USA,16.36B
DOCN,USA,16.28B
TLK,Indonesia,16.26B
RBRK,USA,16.18B
LDOS,USA,16.08B
OWL,USA,16.03B
CDW,USA,16.03B
PTC,USA,16.02B
NVMI,Israel,15.97B
OVV,USA,15.75B
RMBS,USA,15.73B
LULU,Canada,15.68B
PSLV,Canada,15.31B
TOST,USA,15.10B
WF,South Korea,14.82B
BWA,USA,14.73B
MOD,USA,14.73B
SMTC,USA,14.21B
CHKP,Israel,14.08B
HUT,USA,14.06B
APLD,USA,13.51B
FIG,USA,13.47B
SOLS,USA,13.38B
U,USA,13.30B
EVR,USA,13.19B
TRMB,USA,13.15B
NIO,China,13.02B
XPEV,China,12.85B
ONTO,USA,12.85B
LI,China,12.72B
AAOI,USA,12.71B
WULF,USA,12.67B
HII,USA,12.14B
BF-A,USA,12.03B
BF-B,USA,11.93B
VIAV,USA,11.90B
SWKS,USA,11.71B
OKLO,USA,11.64B
ZBRA,USA,11.60B
MP,USA,11.52B
AEIS,USA,11.49B
PNR,United Kingdom,11.45B
MOG-A,USA,11.41B
HUBS,USA,11.30B
PINS,USA,11.23B
QBTS,USA,11.15B
BMNR,USA,10.98B
CLX,USA,10.89B
EQX,Canada,10.67B
AES,USA,10.46B
AG,Canada,10.41B
POWL,USA,10.36B
AVAV,USA,10.35B
UHAL-B,USA,10.34B
DPZ,USA,10.33B
EMBJ,Brazil,10.28B
RIOT,USA,10.25B
PAC,Mexico,10.15B
TTD,USA,10.14B
LINE,USA,10.11B
